ls.names,ls.viz,ls.questions,ls.correct,ls.payment,,ls.names,ls.viz,ls.questions,ls.correct,ls.payment,,ls.names,ls.viz,ls.questions,ls.correct,ls.payment,,,,
4zRq6hPsqtP7FZbhx,chart,12,6,0.5,,2uJJ3CtudEiBaSody,dots,12,6,0.5,,BgpK75C5uxeoHow2C,series,12,2,0.5,,,,
7SnZEt5u4cDaQp3Ti,chart,12,6,0.5,,49wAhBNrW23jx3XXn,dots,12,4,0.5,,JqfvicGQJXeeKRJ64,series,12,6,0.5,,,,
G6zbMK6ZZ9JcN7KgD,chart,12,3,0.5,,4yFSjAcLo8Xpb5NBr,dots,12,7,0.5,,anADbMMrWqwy5fpXL,series,12,6,0.5,,,,
hPNTYGwERATDGDmLd,chart,12,7,0.5,,6w7CZYGQNDrpj7Dfp,dots,12,4,0.5,,eneKDk3QDTpghzkg5,series,12,7,0.5,,,,
k3iaj4mXTYFhTQGFJ,chart,12,5,0.5,,BGRvy45SSZdLGcDG9,dots,12,7,0.5,,hgYDJshRwxs7egfvX,series,12,3,0.5,,,,
qJgXxS5NHQc7JKZkA,chart,12,3,0.5,,DAF22qWpCZ47gHCzY,dots,12,2,0.5,,sndaJBRShTy4bzbPq,series,12,7,0.5,,,,
tk8k2evrrS3s6Yw36,chart,12,4,0.5,,JodzAGSWFtbvdeSqk,dots,12,2,0.5,,wsybRyehJdJyxLfCS,series,12,5,0.5,,,,
wHETwTGT8FX5gYBH3,chart,12,6,0.5,,LzuRw7CoatTcNqkTa,dots,12,6,0.5,,4KdQyosD7zRRXfjoH,series,12,8,2,,,,
28BSxcSTSzpPwQNnn,chart,12,10,2,,SNW8mbjpR7zwT2ARD,dots,12,6,0.5,,EB2LaCrRfSNBuQ4vZ,series,12,10,2,,,,
28CHCCaX86Minmj7c,chart,12,10,2,,TX9Dts9gXNPXMz8rB,dots,12,4,0.5,,FCv2oWcCkT2yFR8q5,series,12,10,2,,,,
2MejMZLQaWQznRtE2,chart,12,9,2,,TkfAAFTqB28dK39oz,dots,12,2,0.5,,FqCqdGdj9BARepSne,series,12,8,2,,,,
5JDFvPXkSznwyMAC5,chart,12,10,2,,Z6Hs8C578xLyc3mPW,dots,12,1,0.5,,HStqpovWTqfwSwfpC,series,12,10,2,,,,
6mKtSBrzBBPyic4HP,chart,12,10,2,,g9ka3Lh4kMGJ6ZyaX,dots,12,1,0.5,,HYLe8iN7tKsJQZQjt,series,12,9,2,,,,
7u5XdW2fvvpQyQEw2,chart,12,9,2,,uLDD95epGaWimsm9T,dots,12,3,0.5,,HttjEXro9w8B2reDD,series,12,10,2,,,,
Aebg3kLGz7JSGZCeq,chart,12,10,2,,wC882gjwdsRsQ8iiS,dots,12,3,0.5,,KSaHABwnWq7vMF8ud,series,12,9,2,,,,
D6XMoj2aKSjtJSEJf,chart,12,9,2,,yDuMqTgtWc4G2LQR7,dots,12,7,0.5,,KXyDP5KMrmHR7bWvw,series,12,9,2,,,,
LsyvaxixbfNLFBxLj,chart,12,8,2,,zqR8zCdWqooxh8dev,dots,12,2,0.5,,KeeScEwzE7d7Y8pjM,series,12,10,2,,,,
R2xdmvvBWBFZjLLLj,chart,12,10,2,,6bJLH7KTRKX24rdzY,dots,12,10,2,,Ks7TdoNZwHMhapYuY,series,12,10,2,,,,
SRXvtxnkZ3oFdqzLQ,chart,12,8,2,,G6dBvgqckNkQ6g2gB,dots,12,8,2,,NzaXeMLv7jexivZFF,series,12,9,2,,,,
Zozdc9QR8pqdDuEwD,chart,12,8,2,,GEZt6ZhsCGbMQtuXb,dots,12,10,2,,YDbqWAi595CRKxbjf,series,12,8,2,,,,
ZvNs6QCxpMBYhpfAo,chart,12,8,2,,GJs3xFDrbmEwXYAkh,dots,12,9,2,,eWYf558HzqZYTLXjd,series,12,9,2,,,,
aTmWFG7F9ks5tw5aY,chart,12,8,2,,JkH5ARHNWebYz6nGM,dots,12,9,2,,fqMr9DzgADfvbhEFP,series,12,10,2,,,,
bByT7Rh9roCmbqaGC,chart,12,10,2,,KT37QyJpjP4JnFivG,dots,12,9,2,,mh9p2kSQWvM8uAEK7,series,12,10,2,,,,
cgYyY4fTJXA56ctZL,chart,12,10,2,,NWX67F5zDpwL4WnxW,dots,12,10,2,,nAPiCihqksXL2XbTM,series,12,10,2,,,,
ghaAPFo6Xv3B9BZLK,chart,12,9,2,,PwEBrnoa3rZjouL34,dots,12,10,2,,qZwnWqNYBMnLCHzz2,series,12,10,2,,,,
nisosFZ4dTEcXEdk3,chart,12,10,2,,So6vS7RTzcjczT2Ez,dots,12,8,2,,vhAsiBXaDHghxPSTn,series,12,10,2,,,,
pBWdGHFmTu4Qw4snK,chart,12,10,2,,Xvfo9pTPRFTcRWZjk,dots,12,9,2,,wpHaTDLSHxwWcei3T,series,12,9,2,,,,
qtXFYALWvHiRafMvt,chart,12,10,2,,bNfX5RtGxcjjEaQnm,dots,12,8,2,,yMWvDqhxa73veYGvv,series,12,9,2,,,,
rpWb9YHJxpBKBy7pb,chart,12,9,2,,ciXN2wMuNmuSQ39g2,dots,12,10,2,,44MoHdTtHYg8Qim7C,series,12,11,3.5,,,,
sF9AdTFX7AJhypvCG,chart,12,8,2,,eneTp6w6pA84Mei59,dots,12,10,2,,7kwt7pEsqN4qM28QR,series,12,12,3.5,,,,
vAm5piEWXfCXNsY7B,chart,12,8,2,,fZtpasQDW9KEkvNvm,dots,12,10,2,,7rxAoRJmJHaX26cqT,series,12,11,3.5,,,,
xsLJWtHndc8s8WCce,chart,12,10,2,,nFDdWcuugyswBQCMR,dots,12,8,2,,9bnFuHDpLcZFdwqxW,series,12,11,3.5,,,,
2MRCHFhT65vrXtvJz,chart,12,11,3.5,,oA48TCv4sRFG3ocsX,dots,12,9,2,,FTWQdHzfYQebiCvue,series,12,11,3.5,,,155.9,Me
9pdsf5midvhEDBrQa,chart,12,11,3.5,,paX4nvBm9jwDpdR2J,dots,12,8,2,,YJzWPZRYPHG3rRrBw,series,12,11,3.5,,,281,Katrien's CC
Exj6H7bRPSCjPigQm,chart,12,11,3.5,,s3gy6QAtbGfSsgnXT,dots,12,9,2,,Z3aTLPbG8wvPy6TzA,series,12,11,3.5,,,,
HCJjRGzyJLFgbeDem,chart,12,11,3.5,,sGYHFWE6HoCL7BoJg,dots,12,9,2,,wtNK7f3ZzgkWHgCEN,series,12,12,3.5,,,,
KmKn9NMEfj2whSPT2,chart,12,11,3.5,,tjHryQhhrgRv3h48J,dots,12,8,2,,,,,,70,,,,
QzCkGfR5Sqv6EkKD5,chart,12,12,3.5,,v6fFXMoHRXynjTbCh,dots,12,10,2,,,,,,,,,,
R3xdYFqaJp4J3wGF7,chart,12,12,3.5,,xqXfF5CnyCgkFJ6a3,dots,12,8,2,,,,,,,,,,
RHxAXBeu3bNHSrwrH,chart,12,11,3.5,,BRKEpiDsoBxXrNKWE,dots,12,11,3.5,,,,,,,,,,
SQGukoGkEKRKRwcDQ,chart,12,12,3.5,,ChMyMnHcj3MDEjgQT,dots,12,11,3.5,,,,,,,,,,
SbBJYTDgm6FCG7xGG,chart,12,11,3.5,,bLmrD6kL2LcejcDGG,dots,12,11,3.5,,,,,,,,,,
Snxk6v7KGNcD3omw3,chart,12,12,3.5,,eH6KnmqCsvg7MYmLA,dots,12,11,3.5,,,,,,,,,,
YL7udNgoFoKPu5hF5,chart,12,12,3.5,,gg3R6eX4snK5WPerg,dots,12,11,3.5,,,,,,,,,,
ZLTTgMCadn3BcvAuZ,chart,12,12,3.5,,gmhXAx3kc6sHGYumc,dots,12,11,3.5,,,,,,,,,,
gfs5G7LwXHLy9S5MP,chart,12,11,3.5,,gmmuoNCkMmb4GrMiY,dots,12,11,3.5,,,,,,,,,,
pBZkpnAEoktK8YKwE,chart,12,11,3.5,,iZbujpH9ftg6KsTR6,dots,12,12,3.5,,,,,,,,,,
rd8ivR2ve6AZXcqWp,chart,12,12,3.5,,in8NNmBKCnkoLWHvR,dots,12,12,3.5,,,,,,,,,,
tPBRJZguAyGyNN4H8,chart,12,11,3.5,,jXZn9X83ef2JJBFwg,dots,12,12,3.5,,,,,,,,,,
vF4rwKEvi8otv5Pmx,chart,12,11,3.5,,kR9gXGwgC2SnJsu6q,dots,12,11,3.5,,,,,,,,,,
xHrZaMN5Gg4n9xQsT,chart,12,11,3.5,,mHBGJAQ8ExL8qY4gi,dots,12,11,3.5,,,,,,,,,,
,,,,114.5,,qgzmQ77MB9AKcE9Fy,dots,12,12,3.5,,,,,,,,,,
,,,,,,tu5iL4cwMnkixZFxs,dots,12,12,3.5,,,,,,,,,,
,,,,,,vZtpvuvY6fsNSzFsW,dots,12,11,3.5,,,,,,,,,,
,,,,,,,,,,96.5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,