"user","viz","accuracy","difficulty"
"3NXNbigM76nQKAs89","chart",0.75,"easy"
"3cZwuTXWPouEuqe9y","chart",0.75,"easy"
"57zdiZK38YnEcLrXp","chart",0.75,"easy"
"8HTePmjPLTLT5f3HZ","chart",0.25,"easy"
"9M5H84ahykKNs7Ja6","chart",0.5,"easy"
"9agXJZdg9R5W8spwF","chart",0.5,"easy"
"A8ppFqrxQHpgk3MzE","chart",0.5,"easy"
"AL4dRc3qJ2uhrp7rE","chart",0.5,"easy"
"AMh3TgppBHmzPL9iD","chart",0.5,"easy"
"AwRr7nMbybTLF4mQA","chart",0.25,"easy"
"B4oDhv6EgeaKp3MYf","chart",1,"easy"
"C8uxJpFgPGc78h28h","chart",0.75,"easy"
"Cm7MWdJ2tFXu4wF7d","chart",0.75,"easy"
"Cwp6FFWujWJRktXw9","chart",0.75,"easy"
"DzJYRt9TL6xTyC8wA","chart",1,"easy"
"EJAkESF8jksJPoAEg","chart",0.5,"easy"
"KeQoR9bNowmKCKzvu","chart",0.25,"easy"
"Ky3yuBfd2RKkD6h7z","chart",1.25,"easy"
"LvF8kX7yJ4FeHMK9w","chart",0.5,"easy"
"MK96LdywSXKk6yfb7","chart",1,"easy"
"NoQhQnJxHAoDAaumx","chart",0.5,"easy"
"PsQ9F7kF2KdYbyvET","chart",0.75,"easy"
"Skh2fCDyZAMRf7NQT","chart",0.75,"easy"
"THgK9emkLiA342cgM","chart",0.25,"easy"
"TL5XJLtaMeN8PnNNA","chart",0.25,"easy"
"TRNhRRY9Pmsh8zNay","chart",0.5,"easy"
"Tr7NqkSqoiscHmNSY","chart",0.25,"easy"
"WajBF7PM7wJCenux5","chart",0.5,"easy"
"Wrj78XYmTRq7a6oz8","chart",0.5,"easy"
"WwbAP4Yb8zx33vyWG","chart",0.25,"easy"
"Y6eqSXtpoJEyHQq2w","chart",1,"easy"
"YMahh8fY3JjTXxK7y","chart",0,"easy"
"YQB4KCyQkfmagQhBK","chart",0.5,"easy"
"Ye65yB8imJSNsDvjk","chart",0.25,"easy"
"ZKYJkThFGEvK8hYmH","chart",0.5,"easy"
"ahrfcQkgKqWz8Ek3F","chart",0.5,"easy"
"bmH9nMDCxXucKruGo","chart",0.5,"easy"
"bya8aym4ESWqqmKz6","chart",0.5,"easy"
"cgsEZnFz5vQCBeGGF","chart",0.75,"easy"
"dY5LTBLoGB7usQKzM","chart",0.5,"easy"
"fqEXNiakpJomYPJcM","chart",0.5,"easy"
"gpBmdRkRZjZ2LrKkP","chart",0.5,"easy"
"iDm6WLBzx5sPjZNd7","chart",0.5,"easy"
"iKNrg6Y9DgKobHN3H","chart",1,"easy"
"iLuNhE8pcfbotoG4X","chart",1,"easy"
"jkkbEENQsL6S4sSsW","chart",0,"easy"
"kMM33M7BMLMciZmzo","chart",0.75,"easy"
"kvedfrfTtmZXL8uqw","chart",0.25,"easy"
"n64KKj2WgY4MFqCR8","chart",1,"easy"
"n9tRymw2b29xNXNQw","chart",0.75,"easy"
"nZgAfxxLXB9NQ3Fc3","chart",0.5,"easy"
"oDRjW22eKjuDwoWCz","chart",0.25,"easy"
"p96CHPyE26CXFbzAy","chart",0.75,"easy"
"rXh8hBQFL2mwnymZR","chart",0.75,"easy"
"rsapax3ByCh3AFkfZ","chart",1,"easy"
"tG82Mr6tM4vPTp4rW","chart",0.5,"easy"
"3CJzKE2sMHYYpv4ZJ","map",0.25,"easy"
"4aGdhs8S6FR22xJRk","map",0.25,"easy"
"4uPWPfYrqf62aZDHu","map",0.25,"easy"
"6RqvhJwruPeaq5Wiu","map",0.25,"easy"
"85AnrXnvyx6DGzS3E","map",0.5,"easy"
"85aK5nhYqcZsduee9","map",0.25,"easy"
"8oncgLBTZtRGzmjQc","map",0.25,"easy"
"A6ukt8wTXoscrga56","map",0.25,"easy"
"AGYsTWawDsrb6PqzD","map",0,"easy"
"CjMr943yDJzT5MMxM","map",0.75,"easy"
"DgNeQjdZpdJmc3kRR","map",0.5,"easy"
"DmcvWpTgM6swZQgXk","map",0.5,"easy"
"EmD2qtgL4Q9tJJzCw","map",0.5,"easy"
"EyggG4F5ytBcAnDYi","map",0,"easy"
"Ez4sXXorW4sK6fHmd","map",0.5,"easy"
"FotaBu7ND6CmG7iWW","map",0.25,"easy"
"GGLzbJeQn8ZrZwkcc","map",0.25,"easy"
"HFmDnjZkNekoPaKDt","map",0.75,"easy"
"JJBwJoErRELYD3otD","map",0.25,"easy"
"K3ZDZRLjkQFqxZ64h","map",0.5,"easy"
"LLkmXNFjd9Xekzsbe","map",0.25,"easy"
"LWb6ehf8PAdrDnMt5","map",0.25,"easy"
"NBRmsMXC9YC3nJYpM","map",0,"easy"
"Noexq9g9tg5XrNG8N","map",0.5,"easy"
"NzW69rumdPRYDXo8D","map",0.75,"easy"
"PdXnETv6jAK23hYpp","map",0.5,"easy"
"Qzb5Xx3mKo8Mkvb24","map",0.5,"easy"
"R3orCFiwipaEJZjgy","map",0.25,"easy"
"RaCmgFxpJoaKvF8Fg","map",0.75,"easy"
"TScYrFrZZMHzjZpC3","map",0.5,"easy"
"TftxzvxgmKZTyvRqG","map",0.75,"easy"
"TiDZBcGFScRA4NTE8","map",0.25,"easy"
"WXyXqZ6LB2NgLAoAN","map",0.5,"easy"
"Wm5caAkfs4zYSx7rs","map",0.5,"easy"
"XK7HZszKh5DB5nkf4","map",0,"easy"
"XauekjSJ4jgTEm9NX","map",0.25,"easy"
"Xj2DMiLHrcZKT93Dz","map",0.25,"easy"
"XnY2aHcsk8cbQbF7Y","map",0.25,"easy"
"YDBqnjgjFRC7ZvpeY","map",0.25,"easy"
"Z85BhuzTR3dAsKXMR","map",0.5,"easy"
"aZuNFzhZxECm9nNeE","map",0,"easy"
"aa4meRBmZ9SH3HkPH","map",0.5,"easy"
"ac6KP6GuesR5dHrzX","map",0.5,"easy"
"axrm2f7L6xv89QmN9","map",0.25,"easy"
"cm2dKrt5FiSdPQYD2","map",0.25,"easy"
"cngZsBZX5N9fjXp9i","map",0.5,"easy"
"d5beoXxKBdTu4Jdn7","map",0.25,"easy"
"dACHxFDBRPwvDYFrD","map",0.25,"easy"
"dj6j7dNuabvZYM7qf","map",0.25,"easy"
"e572swucWvLEMxmWH","map",0.5,"easy"
"iD2k42rucGqSihRyD","map",0.75,"easy"
"jXvgedbwf2zPTFvMz","map",0.25,"easy"
"mcBBdABuErZtd5SQt","map",0,"easy"
"mow3tQCjYGvuuJtM9","map",0,"easy"
"nDxPzaK8WbyEDQbSL","map",0.5,"easy"
"o8h2y3NSZ3TiFmEuA","map",0.75,"easy"
"oZgA7zMzJYw8w7i2K","map",0.25,"easy"
"p4EgJtcC9FFTXFYj4","map",0.75,"easy"
"pFGds9sCShxFpigme","map",0.25,"easy"
"pNpPxpSZf4kRk7Pwf","map",0.5,"easy"
"pbchkZEmGwsfjhJMe","map",0.75,"easy"
"pn5HHxd2JYRfeeTq2","map",0.5,"easy"
"4LNR8zsfngckTHwgs","dots",0.75,"easy"
"4Z4hJFxsL4vtRWGqv","dots",0.25,"easy"
"4b8y692Tb8BxsK8Lm","dots",0.5,"easy"
"4bHzrqd3Kx4nAQDTg","dots",0.5,"easy"
"4cekzyN5zuwojmnci","dots",0.5,"easy"
"5qxdMLFYgbsEGJ9tD","dots",0,"easy"
"75QZK5nw8m4DfumgR","dots",0.25,"easy"
"77KtRQutp99JMKJwD","dots",0.5,"easy"
"7GXgCz7Go95qTbRce","dots",1,"easy"
"BnbtFpPvRuYfAdpYN","dots",0.5,"easy"
"CA5xS7Nq56pMioKzB","dots",0.5,"easy"
"EEmWu4X3YQuDbErED","dots",0.75,"easy"
"Gt2GxvdyBNaPGqcmE","dots",0.25,"easy"
"HjdLX33xpiCLh75mZ","dots",0.5,"easy"
"J4bRPSnhTfc7sQA2Y","dots",0.5,"easy"
"JHcaqTgSWv8ht7Zch","dots",1,"easy"
"JXd3L2ZAaKk93vqf5","dots",0.75,"easy"
"KTpX2Ch4kDTYCpREs","dots",0.75,"easy"
"Lf34EiiyFH9v4earA","dots",0.25,"easy"
"P5CXiwPHSyYMAnZ9q","dots",0.75,"easy"
"PPTDwWFB3x89cfJ62","dots",1,"easy"
"PYZKwDh6EPsmXCwBH","dots",0.5,"easy"
"Q7tqY7v3qTCTZpPov","dots",0.75,"easy"
"QC5CAtSGLrMGWoddJ","dots",0.75,"easy"
"QmYRG24m67s3RZ2hA","dots",0.5,"easy"
"QzcrKqfgWMxPHbBGu","dots",0.5,"easy"
"RsBSQPq8gPAy9GRyY","dots",0.25,"easy"
"RynsssJY5QArKkYwL","dots",0.25,"easy"
"T3Awsz2mJfufhe2To","dots",0.5,"easy"
"TvjgdQiSWYAmJvKcK","dots",0.75,"easy"
"XPArDBGapfrz4N45c","dots",1,"easy"
"Y3CgSbxKHxqyGsgCd","dots",0,"easy"
"YNDbrrFTtu6a9mksv","dots",0.75,"easy"
"aPayCz3H3CxXSvQ88","dots",0.25,"easy"
"bZ48dWnRzW4x8Z27C","dots",0.5,"easy"
"bdoFcNS8GmtufccH3","dots",0.25,"easy"
"becdkK7sXapRRALWn","dots",0.5,"easy"
"dNFwJXrFfoWxjrLD8","dots",0.25,"easy"
"do6WBMEkF4c69LoCY","dots",0.75,"easy"
"dxzbcACHmXmH32crW","dots",0.5,"easy"
"eWfxHMR4f2ZwbivAc","dots",0.5,"easy"
"es47YwR3cjiG8zN5Q","dots",0,"easy"
"fit2d2FdLfjtTFFXi","dots",0.25,"easy"
"jFLTvdMXkduoZ5FWq","dots",0.25,"easy"
"k4WaCsMwLW5HgfsWH","dots",0.25,"easy"
"k7CaR8sHMRoGWRE8s","dots",0.75,"easy"
"kLKvgkXFiMTsyG6x9","dots",0.25,"easy"
"kbpbErs3ntivuaXo5","dots",0.75,"easy"
"n2PHs2jYdgzP984df","dots",0.5,"easy"
"oB78DWRH65xKAh7iX","dots",0.75,"easy"
"onfiXnMn5crvkJhmp","dots",0,"easy"
"orznAgq52iPAZW2Gj","dots",0.5,"easy"
"pTWdiRycrFuEM7Msx","dots",1,"easy"
"q4BeJcAgJScQrDshx","dots",0.75,"easy"
"qPeYLf7hGCaX9PccK","dots",0.25,"easy"
"qmmwXtpiAC6Cv7PEB","dots",0.25,"easy"
"qu7BoNB8B2jM96Tce","dots",0.5,"easy"
"r2Zi8nWky4RAJxPvf","dots",0.75,"easy"
"rJN3dky3R9Gx7AMG4","dots",0,"easy"
"3NXNbigM76nQKAs89","chart",0.75,"medium"
"3cZwuTXWPouEuqe9y","chart",0.5,"medium"
"57zdiZK38YnEcLrXp","chart",0.75,"medium"
"8HTePmjPLTLT5f3HZ","chart",0.25,"medium"
"9M5H84ahykKNs7Ja6","chart",1,"medium"
"9agXJZdg9R5W8spwF","chart",0.75,"medium"
"A8ppFqrxQHpgk3MzE","chart",0,"medium"
"AL4dRc3qJ2uhrp7rE","chart",0.25,"medium"
"AMh3TgppBHmzPL9iD","chart",0.5,"medium"
"AwRr7nMbybTLF4mQA","chart",1,"medium"
"B4oDhv6EgeaKp3MYf","chart",0.5,"medium"
"C8uxJpFgPGc78h28h","chart",0.75,"medium"
"Cm7MWdJ2tFXu4wF7d","chart",0.75,"medium"
"Cwp6FFWujWJRktXw9","chart",0.5,"medium"
"DzJYRt9TL6xTyC8wA","chart",0.5,"medium"
"EJAkESF8jksJPoAEg","chart",0.25,"medium"
"KeQoR9bNowmKCKzvu","chart",0.25,"medium"
"Ky3yuBfd2RKkD6h7z","chart",0.5,"medium"
"LvF8kX7yJ4FeHMK9w","chart",0.75,"medium"
"MK96LdywSXKk6yfb7","chart",0.5,"medium"
"NoQhQnJxHAoDAaumx","chart",0.25,"medium"
"PsQ9F7kF2KdYbyvET","chart",0.75,"medium"
"Skh2fCDyZAMRf7NQT","chart",0.75,"medium"
"THgK9emkLiA342cgM","chart",0,"medium"
"TL5XJLtaMeN8PnNNA","chart",0.75,"medium"
"TRNhRRY9Pmsh8zNay","chart",0.25,"medium"
"Tr7NqkSqoiscHmNSY","chart",0.75,"medium"
"WajBF7PM7wJCenux5","chart",0.75,"medium"
"Wrj78XYmTRq7a6oz8","chart",0.5,"medium"
"WwbAP4Yb8zx33vyWG","chart",0.5,"medium"
"Y6eqSXtpoJEyHQq2w","chart",0.75,"medium"
"YMahh8fY3JjTXxK7y","chart",0.25,"medium"
"YQB4KCyQkfmagQhBK","chart",0.75,"medium"
"Ye65yB8imJSNsDvjk","chart",0.25,"medium"
"ZKYJkThFGEvK8hYmH","chart",0.25,"medium"
"ahrfcQkgKqWz8Ek3F","chart",0.75,"medium"
"bmH9nMDCxXucKruGo","chart",0.25,"medium"
"bya8aym4ESWqqmKz6","chart",0,"medium"
"cgsEZnFz5vQCBeGGF","chart",0.75,"medium"
"dY5LTBLoGB7usQKzM","chart",0.25,"medium"
"fqEXNiakpJomYPJcM","chart",0.25,"medium"
"gpBmdRkRZjZ2LrKkP","chart",0.75,"medium"
"iDm6WLBzx5sPjZNd7","chart",0.25,"medium"
"iKNrg6Y9DgKobHN3H","chart",0.75,"medium"
"iLuNhE8pcfbotoG4X","chart",1,"medium"
"jkkbEENQsL6S4sSsW","chart",0.75,"medium"
"kMM33M7BMLMciZmzo","chart",0.25,"medium"
"kvedfrfTtmZXL8uqw","chart",0.75,"medium"
"n64KKj2WgY4MFqCR8","chart",0.75,"medium"
"n9tRymw2b29xNXNQw","chart",0.5,"medium"
"nZgAfxxLXB9NQ3Fc3","chart",0.5,"medium"
"oDRjW22eKjuDwoWCz","chart",0.75,"medium"
"p96CHPyE26CXFbzAy","chart",0.75,"medium"
"rXh8hBQFL2mwnymZR","chart",0.25,"medium"
"rsapax3ByCh3AFkfZ","chart",0.5,"medium"
"tG82Mr6tM4vPTp4rW","chart",0.25,"medium"
"3CJzKE2sMHYYpv4ZJ","map",0,"medium"
"4aGdhs8S6FR22xJRk","map",0.5,"medium"
"4uPWPfYrqf62aZDHu","map",0.5,"medium"
"6RqvhJwruPeaq5Wiu","map",0.5,"medium"
"85AnrXnvyx6DGzS3E","map",0.25,"medium"
"85aK5nhYqcZsduee9","map",0.5,"medium"
"8oncgLBTZtRGzmjQc","map",0.75,"medium"
"A6ukt8wTXoscrga56","map",0.5,"medium"
"AGYsTWawDsrb6PqzD","map",0.25,"medium"
"CjMr943yDJzT5MMxM","map",0.25,"medium"
"DgNeQjdZpdJmc3kRR","map",0.25,"medium"
"DmcvWpTgM6swZQgXk","map",0.5,"medium"
"EmD2qtgL4Q9tJJzCw","map",0.5,"medium"
"EyggG4F5ytBcAnDYi","map",0,"medium"
"Ez4sXXorW4sK6fHmd","map",0.5,"medium"
"FotaBu7ND6CmG7iWW","map",0.75,"medium"
"GGLzbJeQn8ZrZwkcc","map",0.5,"medium"
"HFmDnjZkNekoPaKDt","map",0.5,"medium"
"JJBwJoErRELYD3otD","map",0.25,"medium"
"K3ZDZRLjkQFqxZ64h","map",0.5,"medium"
"LLkmXNFjd9Xekzsbe","map",0.5,"medium"
"LWb6ehf8PAdrDnMt5","map",0.5,"medium"
"NBRmsMXC9YC3nJYpM","map",0,"medium"
"Noexq9g9tg5XrNG8N","map",0.5,"medium"
"NzW69rumdPRYDXo8D","map",0.25,"medium"
"PdXnETv6jAK23hYpp","map",0.5,"medium"
"Qzb5Xx3mKo8Mkvb24","map",0.75,"medium"
"R3orCFiwipaEJZjgy","map",0,"medium"
"RaCmgFxpJoaKvF8Fg","map",0.5,"medium"
"TScYrFrZZMHzjZpC3","map",0.5,"medium"
"TftxzvxgmKZTyvRqG","map",0.75,"medium"
